"title","release","company","type"
"Heroes of the Storm",2015-06-02,"Blizzard","game"
"StarCraft II: Legacy of the Void",2015-11-10,"Blizzard","game"
"Overwatch",2016-05-24,"Blizzard","game"
"World of Warcraft: Legion",2016-08-30,"Blizzard","game"
"StarCraft: Remastered",2017-08-14,"Blizzard","game"
"World of Warcraft: Battle of Azeroth",2018-08-14,"Blizzard","game"
"World of Warcraft: Classic",2019-08-27,"Blizzard","game"
"Warcraft III: Reforged",2020-01-29,"Blizzard","game"
"World of Warcraft: Shadowlands",2020-11-24,"Blizzard","game"
"Destiny",2017-10-24,"Activision","game"
"Call of Duty: Blacks Ops 4",2018-10-12,"Activision","game"
"Call of Duty: Modern Warfare",2019-10-25,"Activision","game"
"Call of Duty: Black Ops Cold War",2020-11-13,"Activision","game"
"Patch 6.2: Fury of Hellfire",2015-06-23,"Blizzard","patch"
"Patch 7.1: Return to Karazhan",2016-10-25,"Blizzard","patch"
"Patch 7.2: The Tomb of Sargeras",2017-03-28,"Blizzard","patch"
"Patch 7.3: Shadows of Argus",2017-08-29,"Blizzard","patch"
"Patch 8.1.0: Tides of Vengeance",2018-12-11,"Blizzard","patch"
"Patch 8.2.0: Rise of Azshara",2018-06-25,"Blizzard","patch"
"Patch 8.3.0: Visions of N'Zoth",2020-01-14,"Blizzard","patch"
